userId,productId,rating
774114,200591,1
409977,129262,4
981863,209680,2
357284,187408,5
677945,151830,3
331832,161934,2
292888,103926,3
220037,167446,4
902675,116756,2
487177,133981,2
820234,183138,4
339798,194405,3
623277,188688,3
685604,209614,2
759049,217141,1
464393,203735,2
629235,207967,1
780772,163900,2
170211,181808,1
549104,103523,2
921254,172716,5
630595,158181,2
717347,163973,1
208529,103079,1
203067,102751,3
554347,148123,4
415253,120504,3
544038,111857,1
792485,168437,1
564878,186813,1
251787,175819,2
235070,215264,2
552313,149164,5
666336,186225,3
795950,207401,5
892064,130723,3
617531,210467,2
731961,104065,5
793805,118201,5
744355,155849,2
399100,203819,5
163772,111634,1
706812,107131,2
153199,151523,2
807142,124615,4
185668,135840,3
706906,116834,3
490789,130281,4
972290,129689,1
433095,143110,5
577198,200322,1
900591,152527,5
287865,181086,4
831307,213025,5
846381,129593,2
715486,169203,5
667603,167238,4
899649,139546,5
735121,211856,1
486565,127916,1
319563,200131,5
448709,158234,4
201353,177378,4
283202,137415,4
673445,182739,3
197116,138395,4
673698,214344,4
640145,164865,2
248629,182578,2
120834,218586,1
887009,174188,4
787013,182075,4
992988,100171,4
891135,208540,3
424864,216527,5
899503,145506,3
261948,157324,4
618756,170953,2
783523,203247,3
516426,207886,5
705268,164960,4
283122,211500,3
584967,156341,2
605846,190806,5
724964,148235,1
388800,109811,4
249359,130937,5
768054,179580,2
931888,180480,3
721051,192513,5
449672,162319,5
526808,154388,3
118204,162494,5
668981,189898,5
708784,116413,5
370929,105923,2
704296,140483,3
483768,133766,1
367319,178185,4
893971,176164,2
971688,171767,1
982546,156434,2
987710,208273,3
640611,122532,2
479661,160616,1
459738,172578,3
444081,154695,4
713074,193584,5
327995,105726,2
336900,170785,5
180151,151541,3
996872,117651,4
435897,154762,3
569325,162042,4
144684,153840,4
687664,139590,5
195868,183853,1
605871,138562,2
492833,162378,4
571578,215445,2
656029,125947,1
274161,149564,1
403926,195840,2
939452,145350,2
232170,132874,5
730021,177714,5
967260,190480,4
540495,185670,2
712212,138513,3
584535,102772,4
168485,209091,4
629019,107656,1
964789,174903,1
771480,211687,3
116773,196929,3
874788,204641,3
550603,120664,2
313484,154209,1
565280,137679,2
479951,211316,2
766213,113472,4
179359,108188,2
945221,176454,4
955693,132531,1
445636,131381,5
730317,178891,2
609289,215417,5
918082,140309,5
699922,167215,1
946890,113614,3
242574,116022,2
620139,139624,2
423527,142200,4
586833,114495,1
864170,180771,1
487846,154368,1
760283,116779,3
715185,207322,5
700100,192731,5
461142,171727,5
163829,101292,4
496225,159219,2
812936,125785,5
824137,125822,3
669733,194657,4
628760,189603,5
960478,123808,3
957066,173224,1
876383,147185,1
463403,104258,2
247603,106913,2
411397,116893,3
698510,144506,4
740661,118357,1
939970,179343,1
102199,203133,4
120531,123594,1
456772,126685,4
941511,168835,4
404503,178416,2
688728,139038,4
520077,207685,5
457961,206817,2
