userId,productId,rating,category
100078,106003,1,groceries
100069,103991,4,fashion
100052,106825,2,electronics
100019,116930,5,groceries
100068,109909,3,groceries
100079,107857,2,electronics
100070,116384,3,groceries
100020,119315,4,fashion
100097,109858,2,groceries
100050,111334,2,electronics
100085,105588,4,groceries
100030,102507,3,fashion
100023,106326,3,electronics
100041,104309,2,electronics
100099,115755,1,groceries
100014,100979,2,electronics
100062,101941,1,electronics
100038,114716,2,groceries
100076,111935,1,groceries
100082,107215,2,groceries
100060,112816,5,electronics
100055,101146,2,groceries
100011,114984,1,fashion
100003,105697,1,electronics
100095,110147,3,electronics
100040,116597,4,electronics
100021,116077,3,groceries
100044,114824,1,fashion
100014,104384,1,fashion
100021,110170,1,groceries
100092,106829,2,electronics
100098,114772,2,fashion
100021,109705,5,groceries
100050,117464,3,electronics
100092,119323,5,electronics
100088,108950,3,groceries
100030,104279,2,electronics
100086,114861,5,electronics
100040,109856,5,fashion
100049,110704,2,electronics
100062,109479,5,fashion
100052,103765,1,fashion
100076,119713,2,electronics
100048,107218,2,fashion
100008,104101,4,electronics
100054,111165,3,electronics
100027,115183,3,fashion
100090,109733,4,groceries
100030,109524,1,fashion
100050,115641,5,groceries
100063,103802,1,fashion
100096,108905,5,electronics
100058,106837,4,fashion
100041,104647,5,electronics
100061,113093,2,fashion
100048,104437,5,electronics
100000,110659,4,fashion
100096,117671,5,electronics
100017,117222,1,fashion
100011,115853,1,groceries
100095,105546,5,electronics
100095,117417,4,electronics
100062,113728,4,groceries
100006,116798,4,electronics
100002,117510,3,electronics
100059,104839,4,electronics
100064,101806,4,electronics
100031,118835,2,electronics
100097,100692,2,electronics
100008,102609,1,electronics
100096,108690,4,electronics
100000,117507,4,fashion
100072,115209,4,fashion
100059,100999,3,electronics
100066,102533,5,fashion
100075,104742,3,fashion
100070,101412,4,groceries
100035,116145,2,groceries
100029,118505,3,electronics
100027,118997,5,electronics
100026,105608,4,electronics
100059,109028,3,fashion
100009,104427,2,fashion
100033,100706,5,groceries
100002,112449,1,electronics
100053,111492,4,groceries
100055,106096,5,electronics
100025,111613,2,fashion
100015,100954,3,electronics
100002,105521,5,fashion
100005,108881,5,electronics
100087,107042,3,electronics
100017,114519,5,electronics
100098,102396,5,groceries
100069,112681,5,groceries
100086,100250,2,fashion
100100,103215,3,fashion
100088,105280,1,fashion
100067,111928,4,groceries
100072,112831,2,groceries
100011,114426,1,electronics
100005,117927,2,groceries
100079,111199,3,fashion
100016,107053,2,electronics
100060,114126,1,electronics
100093,114391,3,electronics
100009,118706,4,fashion
100089,100552,5,electronics
100017,101505,2,electronics
100010,103348,5,groceries
100019,101797,3,groceries
100000,100876,4,fashion
100091,112575,3,fashion
100036,106605,4,fashion
100079,100629,4,groceries
100042,114612,5,fashion
100093,115983,1,fashion
100073,103745,2,fashion
100088,104253,4,electronics
100042,112417,2,electronics
100011,117968,1,groceries
100099,107255,1,electronics
100064,110872,2,electronics
100086,111104,2,fashion
100060,116101,5,groceries
100051,109638,5,electronics
100021,119142,4,groceries
100034,109749,2,electronics
100071,112355,3,fashion
100078,114735,4,fashion
100089,115907,4,fashion
100050,109249,1,electronics
100061,103489,1,groceries
100086,110642,3,groceries
100022,100753,3,groceries
100022,101340,3,groceries
100032,102226,2,electronics
100007,119357,1,electronics
100076,116274,2,electronics
100045,115870,2,fashion
100021,101549,4,fashion
100019,105105,2,electronics
100062,103854,4,groceries
100100,111219,1,groceries
100045,116204,5,groceries
100090,105457,2,electronics
100087,114910,5,electronics
100041,107259,5,electronics
100084,100694,1,electronics
100022,109163,3,groceries
100097,117447,2,fashion
100026,110845,2,groceries
100072,102715,4,fashion
100016,119325,1,fashion
100009,107072,1,groceries
100099,103510,1,groceries
100024,100991,3,fashion
100074,111959,5,fashion
100042,101819,5,fashion
100075,103866,5,electronics
100053,114569,4,electronics
100025,116637,2,fashion
100040,103611,5,electronics
100027,113443,3,fashion
100033,114033,4,fashion
100079,101389,5,groceries
100057,104967,3,groceries
100008,109329,1,groceries
100012,117342,1,electronics
100082,104440,2,electronics
100069,107598,2,fashion
100021,109658,3,electronics
100040,108875,4,fashion
100090,101196,1,groceries
100002,100055,1,groceries
100093,108142,4,fashion
100024,117727,1,electronics
100056,105559,4,fashion
100004,113430,4,electronics
100098,118093,2,fashion
100063,103769,4,fashion
100058,106463,5,groceries
100017,117242,2,fashion
100010,104381,1,fashion
100100,109242,4,groceries
100018,114704,3,groceries
100092,105618,3,groceries
100065,119711,2,groceries
100009,110264,1,electronics
100050,109388,3,electronics
100001,116228,3,groceries
100095,110940,2,groceries
100048,117993,3,electronics
100015,114489,3,fashion
100074,115479,1,electronics
100015,107878,3,fashion
100048,108981,5,groceries
100050,110928,1,groceries
100019,115994,3,fashion
100091,101070,3,fashion
100081,113727,5,groceries
100082,102743,1,groceries
100040,112476,5,fashion
100013,114911,3,groceries
100063,115363,2,electronics
100100,109257,3,groceries
100009,114640,1,fashion
100062,109428,2,fashion
100032,107977,5,fashion
100087,107228,2,groceries
100100,114827,1,electronics
100020,108861,3,fashion
100061,118135,2,electronics
100030,118157,4,fashion
100085,110035,5,groceries
100025,105559,1,electronics
100031,104528,2,electronics
100090,113417,4,groceries
100012,114145,1,electronics
100075,104253,4,groceries
100055,104788,3,fashion
100074,101593,2,groceries
100080,111825,4,fashion
100034,114076,2,electronics
100009,101515,2,fashion
100099,110966,5,groceries
100038,100899,5,electronics
100095,110639,4,groceries
100085,116484,3,groceries
100095,101892,5,groceries
100015,103918,1,electronics
100084,115040,1,groceries
100087,109438,1,groceries
100074,118098,5,groceries
100070,104995,3,groceries
100073,112773,1,electronics
100047,111698,3,electronics
100086,118409,5,electronics
100055,102792,5,groceries
100085,114624,1,groceries
100099,104816,4,groceries
100089,102781,2,electronics
100068,104779,5,electronics
100085,103082,1,electronics
100076,103375,3,groceries
100059,100978,2,fashion
100055,103693,4,fashion
100001,119789,5,fashion
100001,104360,1,fashion
100046,118270,5,groceries
100070,102073,4,groceries
100075,103915,3,fashion
100070,116009,5,groceries
100078,114851,3,fashion
100046,105623,1,groceries
100088,100346,5,groceries
100008,112987,5,fashion
100038,107749,4,groceries
100091,108341,5,fashion
100083,106798,5,fashion
100010,117646,3,groceries
100007,105028,5,fashion
100018,100834,2,groceries
100098,113964,3,fashion
100002,117390,2,electronics
100096,119451,3,electronics
100017,114392,4,fashion
100012,115205,4,groceries
100049,117225,3,groceries
100015,111183,4,electronics
100097,105063,5,fashion
100022,100070,5,groceries
100093,105534,2,electronics
100008,115968,4,groceries
100023,106594,1,groceries
100007,110620,4,groceries
100076,113407,4,fashion
100077,106727,3,groceries
100072,104779,5,groceries
100016,115324,1,groceries
100061,109242,2,fashion
100021,106703,3,groceries
100076,112277,5,groceries
100073,119338,1,groceries
100052,100288,2,fashion
100042,113955,1,groceries
100003,101569,3,groceries
100068,117666,4,groceries
100046,109407,5,electronics
100007,116322,4,electronics
100067,107980,4,groceries
100014,119543,3,electronics
100060,109628,2,groceries
100051,112650,3,fashion
100015,110494,5,electronics
100019,100317,5,groceries
100002,108830,4,fashion
100095,114988,1,groceries
100091,109703,2,fashion
100023,115717,4,fashion
100004,117558,1,electronics
100070,102912,3,groceries
100031,105174,4,groceries
100014,118969,1,electronics
100064,117534,1,groceries
100046,105919,5,fashion
100076,100727,2,electronics
100073,115482,3,fashion
